num_susceptible,num_infected,num_recovered
5000,10,0
5000,10,0
4999,11,0
4998,12,0
4998,12,0
4998,12,0
4998,12,0
4998,12,0
4998,12,0
4998,12,0
4998,12,0
4996,14,0
4996,14,0
4995,15,0
4995,15,0
4995,15,0
4995,15,0
4994,16,0
4993,17,0
4993,17,0
4993,17,0
4993,17,0
4993,17,0
4992,18,0
4992,18,0
4992,18,0
4992,18,0
4991,19,0
4991,19,0
4990,20,0
4990,20,0
4990,20,0
4989,21,0
4989,21,0
4988,22,0
4988,22,0
4988,22,0
4988,22,0
4988,22,0
4988,22,0
4987,23,0
4986,24,0
4984,26,0
4983,27,0
4983,26,1
4982,27,1
4982,27,1
4982,27,1
4982,27,1
4982,27,1
4981,28,1
4981,28,1
4981,28,1
4979,30,1
4979,30,1
4977,32,1
4977,32,1
4976,33,1
4976,33,1
4975,34,1
4975,34,1
4975,34,1
4974,35,1
4972,37,1
4970,39,1
4970,39,1
4970,39,1
4970,39,1
4970,39,1
4970,39,1
4970,39,1
4969,40,1
4968,41,1
4967,42,1
4967,42,1
4967,42,1
4967,42,1
4967,42,1
4967,42,1
4965,44,1
4964,45,1
4960,49,1
4960,49,1
4958,51,1
4958,51,1
4955,54,1
4955,54,1
4955,54,1
4954,55,1
4953,55,2
4952,56,2
4950,58,2
4950,58,2
4950,58,2
4950,58,2
4949,59,2
4949,59,2
4948,59,3
4948,59,3
4948,59,3
4948,59,3
4948,59,3
4948,59,3
4948,59,3
4948,59,3
4946,61,3
4946,61,3
4944,63,3
4943,64,3
4941,65,4
4940,66,4
4940,66,4
4940,65,5
4937,68,5
4937,67,6
4935,68,7
4934,68,8
4931,71,8
4930,72,8
4926,76,8
4926,75,9
4924,77,9
4923,78,9
4921,80,9
4921,79,10
4918,82,10
4917,83,10
4917,83,10
4916,84,10
4915,85,10
4913,87,10
4913,85,12
4910,88,12
4909,89,12
4908,90,12
4907,90,13
4907,90,13
4904,92,14
4903,93,14
4902,94,14
4901,95,14
4897,99,14
4895,101,14
4894,102,14
4894,101,15
4893,102,15
4892,103,15
4891,104,15
4891,104,15
4889,106,15
4886,109,15
4884,111,15
4881,114,15
4877,118,15
4876,118,16
4874,119,17
4872,120,18
4871,121,18
4870,122,18
4867,124,19
4866,125,19
4864,127,19
4863,128,19
4859,131,20
4858,132,20
4857,132,21
4856,133,21
4855,134,21
4854,134,22
4854,134,22
4854,134,22
4854,134,22
4853,135,22
4852,136,22
4851,137,22
4850,138,22
4848,140,22
4846,141,23
4844,142,24
4841,144,25
4841,144,25
4841,144,25
4840,145,25
4839,146,25
4838,147,25
4837,148,25
4836,148,26
4836,147,27
4833,150,27
4832,151,27
4831,152,27
4830,152,28
4828,153,29
4827,153,30
4827,152,31
4827,152,31
4827,152,31
4826,152,32
4824,154,32
4824,154,32
4823,155,32
4820,158,32
4819,159,32
4819,159,32
4819,158,33
4818,159,33
4818,157,35
4816,158,36
4814,160,36
4812,161,37
4808,165,37
4807,165,38
4805,167,38
4802,170,38
4800,172,38
4799,172,39
4796,174,40
4794,176,40
4793,177,40
4789,180,41
4786,183,41
4786,183,41
4783,186,41
4780,188,42
4778,190,42
4778,190,42
4774,194,42
4770,198,42
4767,201,42
4766,202,42
4764,204,42
4762,206,42
4760,208,42
4757,211,42
4752,216,42
4750,217,43
4746,221,43
4745,222,43
4743,224,43
4741,226,43
4740,227,43
4738,229,43
4733,234,43
4732,234,44
4732,234,44
4730,236,44
4727,238,45
4725,240,45
4723,241,46
4722,241,47
4721,242,47
4720,243,47
4718,244,48
4716,245,49
4715,246,49
4714,246,50
4707,252,51
4703,256,51
4700,259,51
4698,261,51
4696,263,51
4694,265,51
4691,267,52
4689,267,54
4686,268,56
4685,269,56
4682,272,56
4681,273,56
4681,271,58
4678,271,61
4677,272,61
4675,274,61
4674,274,62
4672,276,62
4669,278,63
4669,278,63
4666,281,63
4665,282,63
4660,286,64
4658,288,64
4656,290,64
4654,292,64
4652,294,64
4648,298,64
4644,301,65
4644,300,66
4642,302,66
4638,306,66
4636,307,67
4632,310,68
4632,310,68
4630,312,68
4625,316,69
4623,316,71
4622,317,71
4617,322,71
4612,327,71
4610,328,72
4609,329,72
4604,331,75
4603,332,75
4601,332,77
4596,336,78
4594,337,79
4592,339,79
4587,344,79
4585,346,79
4584,347,79
4580,351,79
4575,355,80
4571,359,80
4568,362,80
4565,362,83
4564,362,84
4561,364,85
4558,365,87
4554,368,88
4549,371,90
4545,374,91
4542,377,91
4538,381,91
4537,381,92
4537,380,93
4534,382,94
4529,385,96
4527,386,97
4524,389,97
4520,392,98
4518,393,99
4517,394,99
4515,396,99
4512,399,99
4510,401,99
4505,404,101
4503,405,102
4503,405,102
4498,410,102
4494,412,104
4493,413,104
4489,417,104
4486,419,105
4485,417,108
4479,422,109
4479,422,109
4475,424,111
4474,423,113
4469,427,114
4466,430,114
4463,433,114
4458,436,116
4453,441,116
4453,438,119
4450,441,119
