infected,suceptible,removed
57,4993,0
61,4989,0
63,4987,0
65,4985,0
66,4984,0
70,4980,0
77,4973,0
81,4969,0
83,4967,0
84,4966,0
86,4963,1
89,4960,1
92,4957,1
92,4957,1
93,4956,1
95,4954,1
97,4952,1
96,4952,2
96,4952,2
97,4951,2
98,4950,2
100,4947,3
104,4942,4
104,4942,4
104,4942,4
105,4941,4
106,4940,4
106,4940,4
107,4939,4
108,4938,4
108,4938,4
109,4937,4
111,4935,4
111,4934,5
110,4934,6
110,4934,6
111,4933,6
112,4932,6
113,4931,6
113,4931,6
113,4930,7
114,4929,7
114,4929,7
114,4929,7
114,4929,7
115,4928,7
116,4927,7
117,4926,7
118,4925,7
118,4925,7
120,4923,7
120,4923,7
120,4923,7
120,4923,7
120,4923,7
120,4923,7
120,4923,7
120,4923,7
120,4923,7
120,4923,7
119,4923,8
119,4923,8
119,4923,8
119,4923,8
119,4923,8
120,4922,8
120,4922,8
120,4922,8
120,4922,8
120,4922,8
120,4922,8
121,4921,8
121,4921,8
122,4920,8
122,4920,8
122,4920,8
122,4920,8
122,4920,8
123,4919,8
123,4919,8
125,4917,8
126,4916,8
126,4916,8
126,4916,8
128,4914,8
128,4914,8
128,4914,8
128,4914,8
128,4914,8
127,4914,9
128,4913,9
129,4912,9
129,4912,9
130,4911,9
131,4910,9
131,4910,9
131,4910,9
131,4909,10
131,4909,10
132,4908,10
134,4906,10
134,4906,10
133,4906,11
133,4906,11
134,4905,11
136,4903,11
136,4903,11
136,4903,11
136,4903,11
137,4902,11
138,4901,11
139,4900,11
139,4900,11
140,4899,11
141,4897,12
141,4897,12
141,4897,12
141,4897,12
141,4897,12
141,4897,12
141,4897,12
141,4897,12
141,4897,12
141,4897,12
141,4897,12
143,4895,12
143,4895,12
144,4894,12
144,4894,12
144,4894,12
145,4893,12
145,4893,12
145,4893,12
145,4893,12
147,4891,12
147,4891,12
148,4890,12
148,4890,12
149,4889,12
150,4888,12
150,4888,12
150,4888,12
151,4887,12
150,4887,13
150,4887,13
151,4886,13
151,4886,13
152,4885,13
152,4885,13
153,4884,13
154,4883,13
154,4883,13
154,4883,13
154,4883,13
154,4883,13
157,4880,13
158,4879,13
159,4878,13
160,4877,13
160,4877,13
160,4876,14
162,4874,14
162,4874,14
162,4873,15
163,4872,15
163,4872,15
163,4872,15
163,4872,15
164,4871,15
163,4871,16
165,4869,16
165,4869,16
167,4867,16
167,4867,16
166,4867,17
166,4867,17
169,4864,17
169,4864,17
167,4864,19
168,4863,19
168,4863,19
169,4862,19
168,4862,20
169,4861,20
171,4858,21
171,4858,21
171,4858,21
172,4857,21
172,4857,21
172,4857,21
172,4857,21
172,4857,21
173,4856,21
174,4854,22
175,4853,22
178,4850,22
179,4849,22
180,4848,22
180,4848,22
180,4848,22
181,4847,22
183,4845,22
183,4845,22
183,4845,22
183,4845,22
184,4844,22
184,4844,22
184,4844,22
184,4844,22
184,4844,22
