infected,suceptible,removed
56,4994,0
62,4988,0
64,4986,0
66,4984,0
68,4982,0
71,4979,0
73,4977,0
78,4972,0
80,4970,0
80,4970,0
83,4967,0
85,4965,0
86,4964,0
88,4962,0
92,4958,0
94,4956,0
95,4955,0
97,4953,0
98,4952,0
99,4951,0
100,4950,0
102,4947,1
104,4945,1
107,4942,1
108,4940,2
110,4938,2
114,4934,2
114,4934,2
118,4930,2
119,4929,2
120,4928,2
121,4927,2
121,4927,2
122,4926,2
123,4925,2
124,4924,2
125,4923,2
127,4921,2
127,4920,3
127,4920,3
128,4919,3
130,4917,3
130,4917,3
130,4917,3
131,4916,3
132,4915,3
132,4915,3
133,4914,3
132,4914,4
132,4914,4
132,4914,4
131,4914,5
131,4914,5
131,4914,5
130,4914,6
130,4914,6
132,4912,6
133,4911,6
133,4911,6
133,4911,6
133,4911,6
134,4910,6
134,4910,6
136,4908,6
136,4908,6
137,4907,6
137,4907,6
138,4906,6
139,4905,6
139,4905,6
139,4905,6
140,4904,6
141,4903,6
141,4903,6
141,4903,6
141,4903,6
141,4903,6
142,4902,6
142,4902,6
143,4901,6
143,4901,6
142,4901,7
145,4898,7
146,4897,7
146,4897,7
147,4896,7
148,4895,7
149,4894,7
149,4894,7
151,4892,7
152,4891,7
152,4891,7
152,4891,7
152,4891,7
152,4891,7
152,4891,7
152,4891,7
154,4889,7
154,4889,7
154,4889,7
154,4889,7
154,4889,7
154,4889,7
155,4888,7
155,4888,7
155,4888,7
155,4887,8
156,4886,8
156,4886,8
156,4886,8
156,4886,8
156,4886,8
156,4886,8
156,4885,9
158,4883,9
159,4882,9
159,4882,9
159,4882,9
159,4881,10
162,4878,10
163,4877,10
164,4876,10
164,4876,10
164,4876,10
165,4875,10
166,4874,10
166,4873,11
166,4873,11
167,4872,11
169,4870,11
169,4870,11
169,4869,12
170,4868,12
171,4867,12
170,4867,13
171,4866,13
171,4866,13
171,4866,13
171,4866,13
172,4865,13
173,4864,13
173,4864,13
173,4864,13
173,4864,13
173,4863,14
173,4863,14
173,4863,14
173,4863,14
173,4863,14
174,4862,14
174,4862,14
174,4862,14
175,4861,14
175,4861,14
175,4861,14
176,4860,14
176,4860,14
177,4859,14
178,4858,14
179,4857,14
179,4856,15
179,4856,15
179,4855,16
179,4855,16
180,4854,16
180,4854,16
181,4853,16
182,4852,16
182,4852,16
181,4852,17
181,4852,17
181,4852,17
181,4852,17
181,4852,17
181,4852,17
183,4850,17
184,4849,17
184,4848,18
186,4846,18
186,4846,18
188,4844,18
189,4843,18
188,4843,19
188,4843,19
189,4842,19
189,4842,19
191,4840,19
195,4836,19
196,4835,19
197,4834,19
200,4831,19
201,4830,19
201,4830,19
203,4828,19
204,4827,19
206,4825,19
207,4823,20
207,4823,20
207,4823,20
207,4823,20
207,4823,20
207,4823,20
210,4820,20
210,4820,20
210,4820,20
210,4820,20
210,4820,20
210,4819,21
211,4818,21
212,4817,21
212,4817,21
212,4817,21
213,4816,21
215,4814,21
215,4813,22
217,4811,22
217,4811,22
219,4809,22
219,4809,22
220,4808,22
220,4807,23
222,4805,23
222,4805,23
222,4804,24
225,4801,24
226,4800,24
226,4799,25
226,4799,25
226,4798,26
225,4798,27
224,4798,28
225,4797,28
225,4797,28
226,4796,28
226,4796,28
226,4796,28
226,4796,28
226,4796,28
227,4795,28
227,4795,28
228,4794,28
227,4794,29
227,4794,29
227,4794,29
227,4793,30
227,4793,30
226,4793,31
226,4793,31
226,4793,31
226,4793,31
226,4793,31
226,4793,31
226,4792,32
226,4792,32
225,4792,33
224,4792,34
224,4792,34
224,4792,34
222,4792,36
223,4791,36
226,4788,36
226,4788,36
225,4788,37
225,4788,37
226,4787,37
227,4786,37
228,4785,37
228,4785,37
230,4783,37
233,4780,37
234,4779,37
236,4777,37
237,4776,37
237,4776,37
236,4776,38
234,4776,40
235,4775,40
235,4774,41
237,4772,41
239,4770,41
240,4769,41
244,4765,41
243,4765,42
244,4764,42
244,4764,42
243,4763,44
243,4762,45
244,4761,45
245,4760,45
245,4759,46
247,4757,46
249,4755,46
250,4754,46
250,4754,46
250,4754,46
251,4752,47
253,4750,47
253,4750,47
253,4750,47
256,4747,47
258,4745,47
259,4744,47
259,4744,47
259,4744,47
261,4742,47
262,4741,47
263,4740,47
263,4740,47
264,4739,47
264,4739,47
265,4738,47
265,4738,47
265,4738,47
266,4737,47
268,4735,47
267,4735,48
266,4735,49
266,4735,49
266,4735,49
265,4735,50
266,4734,50
266,4734,50
265,4734,51
265,4734,51
265,4734,51
266,4733,51
265,4733,52
267,4731,52
267,4731,52
267,4730,53
267,4730,53
267,4730,53
268,4729,53
269,4727,54
270,4726,54
270,4726,54
271,4725,54
273,4723,54
273,4723,54
274,4722,54
274,4722,54
273,4722,55
272,4722,56
274,4720,56
275,4719,56
274,4719,57
276,4717,57
275,4717,58
275,4717,58
277,4715,58
278,4714,58
278,4714,58
279,4713,58
280,4712,58
280,4712,58
281,4711,58
281,4711,58
282,4710,58
282,4710,58
283,4709,58
282,4709,59
282,4709,59
283,4708,59
284,4707,59
283,4707,60
285,4705,60
285,4705,60
285,4705,60
285,4705,60
286,4702,62
286,4701,63
286,4701,63
285,4701,64
285,4701,64
285,4701,64
286,4700,64
285,4700,65
285,4700,65
285,4699,66
285,4699,66
286,4698,66
286,4698,66
286,4698,66
285,4698,67
285,4698,67
285,4698,67
285,4698,67
284,4698,68
283,4698,69
283,4698,69
281,4698,71
279,4698,73
279,4698,73
279,4698,73
278,4698,74
279,4697,74
279,4697,74
278,4697,75
277,4697,76
277,4697,76
277,4697,76
278,4696,76
276,4695,79
277,4694,79
277,4694,79
276,4694,80
276,4694,80
277,4693,80
278,4692,80
278,4692,80
278,4692,80
277,4692,81
278,4691,81
279,4690,81
278,4690,82
279,4689,82
278,4689,83
279,4687,84
279,4687,84
279,4687,84
280,4686,84
281,4685,84
283,4683,84
283,4683,84
285,4681,84
286,4680,84
287,4679,84
289,4677,84
289,4677,84
290,4676,84
291,4675,84
290,4674,86
290,4674,86
289,4674,87
291,4672,87
291,4672,87
291,4672,87
293,4670,87
292,4670,88
296,4666,88
299,4663,88
300,4662,88
301,4660,89
302,4658,90
306,4654,90
306,4654,90
306,4654,90
306,4653,91
307,4652,91
308,4651,91
308,4650,92
308,4650,92
307,4650,93
305,4650,95
306,4649,95
307,4648,95
306,4648,96
306,4648,96
306,4648,96
306,4647,97
306,4647,97
307,4646,97
306,4645,99
306,4645,99
307,4644,99
308,4643,99
307,4643,100
308,4642,100
308,4642,100
310,4640,100
309,4640,101
309,4640,101
310,4639,101
311,4638,101
