infected,suceptible,removed
56,4994,0
60,4990,0
67,4983,0
72,4978,0
76,4974,0
84,4966,0
88,4962,0
95,4955,0
100,4950,0
106,4944,0
107,4943,0
112,4938,0
116,4934,0
123,4927,0
128,4922,0
136,4914,0
141,4909,0
144,4906,0
147,4903,0
149,4901,0
153,4897,0
156,4894,0
163,4887,0
167,4883,0
172,4878,0
177,4873,0
180,4869,1
179,4869,2
180,4867,3
185,4862,3
188,4859,3
191,4856,3
192,4854,4
193,4853,4
196,4850,4
196,4849,5
196,4849,5
202,4843,5
203,4842,5
206,4839,5
206,4839,5
211,4834,5
212,4833,5
213,4832,5
213,4831,6
215,4829,6
217,4827,6
219,4825,6
226,4818,6
229,4815,6
230,4814,6
231,4813,6
234,4810,6
235,4809,6
237,4807,6
238,4806,6
237,4805,8
242,4800,8
245,4797,8
248,4794,8
250,4791,9
252,4788,10
255,4784,11
257,4782,11
258,4781,11
260,4779,11
262,4777,11
261,4777,12
262,4775,13
265,4771,14
268,4767,15
268,4767,15
275,4760,15
274,4760,16
278,4756,16
278,4755,17
282,4751,17
282,4750,18
283,4749,18
289,4743,18
290,4742,18
296,4736,18
299,4733,18
302,4730,18
308,4724,18
309,4722,19
310,4721,19
316,4715,19
318,4713,19
320,4711,19
322,4709,19
322,4707,21
325,4704,21
326,4703,21
330,4699,21
333,4696,21
335,4694,21
335,4692,23
340,4687,23
344,4683,23
348,4678,24
350,4676,24
351,4675,24
353,4672,25
362,4663,25
364,4661,25
363,4661,26
363,4660,27
368,4655,27
372,4651,27
378,4645,27
380,4641,29
382,4639,29
386,4634,30
391,4629,30
393,4626,31
397,4621,32
396,4621,33
398,4617,35
402,4613,35
407,4607,36
411,4602,37
412,4601,37
415,4598,37
420,4593,37
422,4591,37
424,4588,38
430,4581,39
432,4579,39
440,4571,39
445,4565,40
454,4556,40
455,4554,41
460,4549,41
465,4544,41
467,4542,41
468,4540,42
476,4532,42
478,4530,42
482,4526,42
484,4523,43
487,4520,43
491,4516,43
494,4512,44
497,4509,44
502,4504,44
503,4503,44
507,4498,45
506,4497,47
505,4496,49
507,4492,51
509,4489,52
511,4486,53
511,4485,54
513,4481,56
517,4477,56
516,4476,58
518,4473,59
519,4472,59
523,4467,60
523,4467,60
527,4463,60
527,4462,61
530,4458,62
533,4455,62
537,4451,62
544,4444,62
548,4440,62
557,4431,62
559,4428,63
562,4424,64
564,4422,64
566,4418,66
573,4410,67
584,4399,67
593,4390,67
598,4382,70
601,4378,71
611,4368,71
620,4358,72
626,4352,72
632,4346,72
641,4336,73
649,4328,73
658,4319,73
660,4316,74
664,4311,75
666,4309,75
673,4302,75
679,4296,75
685,4290,75
686,4289,75
688,4286,76
692,4282,76
700,4274,76
703,4269,78
709,4262,79
712,4259,79
720,4251,79
726,4245,79
732,4237,81
738,4230,82
739,4228,83
747,4218,85
755,4210,85
761,4204,85
766,4199,85
769,4194,87
771,4191,88
777,4184,89
785,4176,89
787,4173,90
792,4168,90
797,4163,90
805,4155,90
812,4148,90
817,4142,91
823,4136,91
829,4129,92
833,4125,92
839,4119,92
842,4115,93
845,4112,93
849,4107,94
857,4098,95
860,4093,97
868,4085,97
874,4079,97
876,4074,100
889,4061,100
897,4053,100
901,4048,101
907,4041,102
916,4032,102
922,4024,104
924,4022,104
928,4018,104
935,4011,104
940,4003,107
947,3996,107
949,3994,107
952,3991,107
957,3986,107
965,3977,108
975,3967,108
980,3961,109
993,3948,109
999,3941,110
1004,3934,112
1011,3927,112
1017,3920,113
1022,3915,113
1027,3910,113
1037,3900,113
1045,3891,114
1055,3881,114
1054,3880,116
1061,3869,120
1065,3863,122
1069,3858,123
1072,3855,123
1073,3852,125
1073,3850,127
1079,3842,129
1085,3835,130
1093,3827,130
1101,3818,131
1108,3810,132
1112,3802,136
1116,3798,136
1121,3791,138
1129,3783,138
1134,3778,138
1146,3766,138
1155,3757,138
1161,3749,140
1172,3738,140
1185,3725,140
1188,3719,143
1198,3707,145
1202,3702,146
1211,3692,147
1213,3690,147
1219,3683,148
1225,3674,151
1229,3669,152
1240,3658,152
1247,3650,153
1250,3645,155
1263,3630,157
1267,3626,157
1273,3618,159
1280,3609,161
1286,3602,162
1289,3599,162
1290,3596,164
1294,3592,164
1303,3581,166
1303,3579,168
1315,3567,168
1318,3561,171
1324,3554,172
1327,3551,172
1331,3547,172
1338,3540,172
1343,3534,173
1354,3521,175
1359,3515,176
1366,3506,178
1372,3498,180
1382,3487,181
1389,3480,181
1395,3472,183
1398,3466,186
1403,3459,188
1414,3447,189
1414,3446,190
1416,3442,192
1421,3434,195
1429,3425,196
1439,3414,197
1444,3409,197
1450,3402,198
1458,3392,200
1464,3385,201
1468,3380,202
1472,3374,204
1473,3369,208
1477,3364,209
1483,3355,212
1488,3350,212
1492,3345,213
1497,3339,214
1502,3333,215
1512,3322,216
1520,3312,218
1529,3303,218
1533,3295,222
1545,3282,223
1548,3276,226
1553,3271,226
1564,3258,228
1576,3245,229
1587,3232,231
1589,3228,233
1600,3217,233
1606,3210,234
1615,3201,234
1619,3196,235
1625,3190,235
1629,3184,237
1633,3176,241
1637,3171,242
1643,3163,244
1651,3154,245
1660,3144,246
1670,3134,246
1677,3126,247
1688,3113,249
1692,3107,251
1695,3102,253
1700,3096,254
1700,3093,257
1708,3084,258
1712,3078,260
1715,3072,263
1720,3067,263
1722,3062,266
1728,3055,267
1732,3048,270
1737,3040,273
1747,3029,274
1756,3019,275
1766,3006,278
1772,2999,279
1782,2986,282
1792,2976,282
1801,2963,286
1809,2953,288
1819,2942,289
1825,2931,294
1833,2921,296
1846,2907,297
1857,2894,299
1862,2887,301
1873,2876,301
1874,2870,306
1881,2863,306
1888,2855,307
1896,2845,309
1903,2837,310
1916,2823,311
1916,2822,312
1923,2813,314
1926,2806,318
1927,2801,322
1936,2791,323
1944,2782,324
1953,2772,325
1958,2763,329
1966,2754,330
1974,2745,331
1982,2735,333
1995,2720,335
2006,2708,336
2012,2699,339
2022,2688,340
2024,2684,342
2035,2673,342
2041,2666,343
2042,2663,345
2053,2652,345
2057,2647,346
2060,2640,350
2070,2629,351
2078,2621,351
2079,2617,354
2084,2611,355
2088,2604,358
2096,2593,361
2105,2583,362
2112,2575,363
2121,2566,363
2130,2557,363
2134,2550,366
2143,2540,367
2144,2535,371
2151,2526,373
2152,2521,377
2156,2515,379
2162,2505,383
2170,2494,386
2176,2485,389
2180,2478,392
2189,2469,392
2196,2461,393
2199,2455,396
2204,2447,399
2208,2441,401
2210,2437,403
2214,2429,407
2219,2419,412
2228,2409,413
2232,2403,415
2232,2400,418
2236,2394,420
2245,2383,422
2248,2379,423
2252,2372,426
2254,2369,427
2260,2363,427
2265,2358,427
2265,2354,431
2264,2350,436
2266,2346,438
2269,2341,440
2274,2334,442
2277,2328,445
2281,2321,448
2284,2317,449
2286,2313,451
2293,2305,452
2297,2301,452
2299,2296,455
2300,2289,461
2309,2278,463
2313,2272,465
2315,2266,469
2318,2260,472
2323,2253,474
2329,2247,474
2334,2242,474
2335,2236,479
2336,2234,480
2346,2223,481
2351,2215,484
2353,2210,487
2363,2199,488
2367,2194,489
2367,2191,492
2374,2183,493
2376,2178,496
2376,2174,500
2375,2168,507
2377,2164,509
2378,2159,513
2378,2154,518
2377,2151,522
2378,2148,524
2380,2143,527
2386,2136,528
2395,2126,529
2401,2119,530
2405,2115,530
2412,2104,534
2424,2092,534
2431,2084,535
2436,2078,536
2440,2070,540
2445,2062,543
2451,2054,545
2449,2051,550
2452,2045,553
2455,2038,557
2456,2035,559
2457,2029,564
2460,2025,565
2462,2020,568
2462,2015,573
2465,2011,574
2472,2003,575
2473,2001,576
2473,1997,580
2478,1991,581
2483,1985,582
2485,1980,585
2487,1975,588
2493,1966,591
2503,1955,592
2507,1947,596
2513,1941,596
2516,1935,599
2521,1929,600
2522,1925,603
2524,1922,604
2540,1906,604
2545,1898,607
2548,1893,609
2551,1888,611
2558,1877,615
2558,1873,619
2566,1864,620
2569,1859,622
2568,1854,628
2575,1846,629
2580,1840,630
2582,1834,634
2587,1827,636
2586,1823,641
2587,1820,643
2594,1810,646
2595,1805,650
2601,1798,651
2602,1794,654
2606,1786,658
2611,1777,662
2610,1774,666
2610,1769,671
2617,1762,671
2625,1754,671
2626,1751,673
