infected,suceptible,removed
56,4994,0
59,4990,1
65,4984,1
69,4980,1
73,4976,1
75,4974,1
79,4970,1
81,4968,1
84,4965,1
89,4960,1
90,4959,1
93,4956,1
93,4956,1
95,4954,1
96,4953,1
98,4951,1
101,4948,1
103,4946,1
104,4945,1
104,4945,1
107,4942,1
111,4938,1
111,4938,1
112,4937,1
111,4937,2
113,4934,3
113,4934,3
114,4933,3
115,4932,3
117,4930,3
117,4930,3
117,4930,3
117,4930,3
119,4928,3
120,4927,3
123,4924,3
124,4923,3
125,4922,3
127,4920,3
129,4917,4
131,4915,4
133,4913,4
133,4913,4
137,4909,4
139,4907,4
141,4905,4
144,4902,4
143,4902,5
143,4901,6
145,4899,6
146,4898,6
147,4897,6
148,4896,6
152,4892,6
153,4891,6
158,4886,6
160,4884,6
162,4882,6
163,4881,6
165,4879,6
165,4879,6
169,4875,6
169,4875,6
170,4874,6
169,4874,7
169,4874,7
170,4873,7
171,4872,7
172,4871,7
174,4869,7
177,4866,7
177,4866,7
178,4865,7
178,4863,9
180,4861,9
180,4861,9
180,4861,9
180,4860,10
179,4860,11
179,4860,11
179,4860,11
181,4858,11
181,4857,12
181,4857,12
181,4856,13
180,4856,14
180,4856,14
181,4855,14
183,4853,14
183,4853,14
185,4851,14
185,4851,14
186,4850,14
187,4849,14
188,4848,14
189,4847,14
190,4846,14
191,4845,14
194,4842,14
196,4840,14
196,4840,14
196,4839,15
200,4835,15
201,4834,15
202,4833,15
202,4833,15
203,4832,15
203,4832,15
202,4832,16
205,4829,16
207,4827,16
208,4826,16
209,4825,16
209,4825,16
210,4823,17
210,4823,17
210,4822,18
211,4821,18
212,4820,18
215,4817,18
215,4816,19
216,4815,19
216,4815,19
218,4813,19
219,4812,19
219,4811,20
221,4809,20
221,4809,20
222,4808,20
222,4807,21
222,4807,21
223,4806,21
223,4806,21
223,4806,21
224,4804,22
227,4801,22
227,4800,23
228,4799,23
230,4797,23
231,4796,23
232,4795,23
234,4793,23
237,4790,23
237,4790,23
238,4789,23
238,4789,23
239,4788,23
241,4786,23
241,4785,24
242,4784,24
243,4783,24
244,4781,25
247,4778,25
248,4777,25
249,4776,25
249,4775,26
249,4775,26
255,4769,26
254,4769,27
254,4769,27
256,4767,27
259,4762,29
260,4761,29
261,4760,29
264,4757,29
266,4755,29
268,4753,29
269,4751,30
270,4750,30
270,4750,30
270,4750,30
272,4748,30
272,4747,31
272,4747,31
273,4746,31
273,4746,31
273,4746,31
274,4745,31
275,4744,31
274,4744,32
275,4743,32
277,4741,32
278,4740,32
277,4740,33
278,4739,33
278,4737,35
279,4736,35
280,4735,35
281,4734,35
281,4734,35
282,4733,35
286,4729,35
286,4728,36
288,4726,36
288,4726,36
286,4726,38
286,4726,38
286,4726,38
286,4726,38
286,4725,39
286,4724,40
286,4724,40
286,4724,40
285,4724,41
287,4722,41
288,4720,42
292,4716,42
295,4713,42
296,4712,42
298,4710,42
299,4709,42
300,4708,42
301,4705,44
303,4703,44
305,4701,44
309,4697,44
311,4695,44
311,4695,44
312,4694,44
312,4693,45
314,4691,45
313,4688,49
316,4685,49
316,4685,49
316,4684,50
318,4682,50
319,4681,50
321,4678,51
321,4677,52
322,4676,52
324,4674,52
324,4674,52
323,4674,53
324,4673,53
325,4672,53
325,4670,55
327,4668,55
327,4668,55
330,4665,55
334,4661,55
334,4661,55
336,4658,56
336,4658,56
340,4653,57
341,4652,57
342,4651,57
343,4649,58
343,4649,58
345,4647,58
346,4646,58
346,4646,58
348,4644,58
348,4644,58
346,4644,60
350,4640,60
349,4640,61
349,4640,61
350,4639,61
350,4639,61
351,4638,61
351,4638,61
351,4638,61
352,4637,61
354,4635,61
354,4635,61
356,4633,61
356,4633,61
356,4633,61
358,4631,61
356,4631,63
358,4629,63
358,4628,64
358,4628,64
359,4627,64
360,4625,65
360,4624,66
362,4622,66
362,4621,67
362,4621,67
362,4621,67
364,4619,67
365,4618,67
365,4618,67
366,4616,68
365,4616,69
365,4615,70
366,4612,72
365,4612,73
366,4611,73
365,4611,74
366,4610,74
366,4610,74
366,4610,74
368,4608,74
369,4607,74
370,4606,74
374,4602,74
375,4601,74
376,4600,74
378,4597,75
380,4595,75
381,4594,75
382,4593,75
383,4592,75
383,4592,75
384,4591,75
385,4590,75
385,4590,75
384,4590,76
383,4590,77
386,4587,77
387,4586,77
385,4586,79
384,4586,80
384,4586,80
384,4586,80
384,4586,80
388,4582,80
389,4580,81
389,4580,81
390,4579,81
392,4577,81
392,4576,82
394,4574,82
395,4573,82
394,4573,83
396,4571,83
396,4571,83
398,4568,84
399,4567,84
400,4565,85
400,4565,85
403,4562,85
405,4560,85
406,4558,86
408,4556,86
407,4556,87
407,4555,88
410,4552,88
411,4551,88
411,4550,89
412,4549,89
413,4548,89
414,4547,89
414,4547,89
413,4547,90
413,4547,90
412,4547,91
412,4547,91
415,4544,91
416,4543,91
418,4541,91
419,4540,91
420,4539,91
420,4539,91
419,4539,92
420,4538,92
421,4537,92
422,4536,92
423,4535,92
425,4533,92
425,4532,93
425,4532,93
428,4529,93
430,4527,93
431,4525,94
432,4524,94
434,4522,94
436,4520,94
437,4518,95
437,4518,95
437,4517,96
436,4517,97
434,4517,99
435,4516,99
435,4515,100
434,4515,101
436,4512,102
438,4509,103
438,4509,103
438,4507,105
440,4504,106
440,4504,106
441,4502,107
441,4501,108
443,4499,108
444,4498,108
446,4496,108
445,4496,109
446,4495,109
445,4495,110
444,4495,111
443,4495,112
443,4494,113
445,4492,113
446,4491,113
445,4491,114
446,4490,114
446,4490,114
444,4490,116
444,4489,117
444,4488,118
445,4487,118
446,4486,118
448,4484,118
449,4483,118
454,4478,118
456,4476,118
457,4475,118
455,4475,120
456,4474,120
458,4471,121
459,4469,122
459,4468,123
459,4468,123
459,4468,123
460,4467,123
458,4467,125
458,4467,125
459,4466,125
462,4463,125
462,4463,125
463,4462,125
461,4462,127
462,4461,127
464,4458,128
465,4457,128
466,4456,128
465,4456,129
465,4456,129
466,4454,130
467,4452,131
468,4450,132
468,4450,132
468,4450,132
468,4449,133
468,4449,133
468,4448,134
468,4447,135
469,4446,135
468,4446,136
467,4446,137
467,4444,139
467,4444,139
467,4444,139
467,4443,140
466,4443,141
467,4440,143
468,4439,143
469,4438,143
472,4435,143
472,4435,143
476,4431,143
479,4427,144
479,4426,145
478,4424,148
478,4422,150
479,4421,150
481,4419,150
482,4418,150
485,4415,150
484,4415,151
483,4415,152
482,4415,153
482,4415,153
483,4413,154
482,4413,155
483,4412,155
483,4412,155
483,4411,156
483,4411,156
483,4411,156
481,4411,158
481,4411,158
481,4411,158
481,4411,158
481,4411,158
481,4410,159
482,4408,160
484,4406,160
485,4405,160
487,4403,160
488,4401,161
489,4400,161
493,4395,162
493,4394,163
494,4392,164
493,4391,166
495,4389,166
494,4389,167
495,4388,167
495,4386,169
496,4385,169
498,4383,169
501,4380,169
501,4379,170
501,4379,170
503,4377,170
504,4376,170
505,4374,171
506,4372,172
506,4372,172
507,4371,172
508,4369,173
508,4369,173
507,4368,175
509,4366,175
510,4365,175
510,4365,175
510,4365,175
513,4362,175
515,4360,175
517,4357,176
518,4356,176
518,4356,176
519,4355,176
521,4353,176
520,4353,177
520,4352,178
519,4351,180
521,4349,180
521,4348,181
521,4348,181
522,4347,181
525,4344,181
526,4342,182
525,4342,183
526,4341,183
526,4341,183
527,4339,184
526,4338,186
527,4337,186
528,4336,186
530,4334,186
529,4334,187
532,4331,187
532,4331,187
532,4330,188
532,4329,189
533,4327,190
536,4324,190
537,4323,190
535,4322,193
537,4320,193
539,4318,193
539,4317,194
540,4315,195
540,4314,196
543,4311,196
543,4309,198
547,4305,198
548,4303,199
546,4303,201
550,4299,201
550,4297,203
552,4295,203
556,4291,203
556,4291,203
556,4291,203
557,4290,203
557,4289,204
555,4289,206
555,4289,206
556,4287,207
558,4285,207
560,4283,207
562,4281,207
