infected,suceptible,removed
56,4994,0
59,4990,1
65,4984,1
70,4979,1
74,4975,1
75,4974,1
78,4971,1
81,4968,1
83,4966,1
91,4958,1
94,4955,1
98,4951,1
99,4950,1
101,4948,1
104,4945,1
107,4942,1
109,4940,1
110,4939,1
109,4939,2
113,4935,2
112,4935,3
112,4934,4
115,4930,5
118,4927,5
121,4924,5
123,4922,5
123,4922,5
123,4922,5
124,4921,5
123,4921,6
124,4920,6
124,4920,6
124,4920,6
125,4919,6
125,4919,6
125,4919,6
125,4919,6
125,4919,6
126,4918,6
125,4918,7
125,4918,7
125,4918,7
125,4918,7
125,4918,7
125,4918,7
125,4918,7
125,4918,7
125,4918,7
125,4918,7
125,4918,7
126,4917,7
126,4917,7
125,4917,8
126,4916,8
127,4915,8
128,4914,8
130,4912,8
130,4912,8
130,4912,8
131,4911,8
133,4909,8
134,4908,8
134,4908,8
135,4907,8
135,4907,8
135,4907,8
137,4905,8
138,4904,8
138,4904,8
139,4903,8
139,4903,8
140,4902,8
142,4900,8
142,4900,8
143,4899,8
143,4899,8
143,4899,8
143,4899,8
144,4898,8
146,4896,8
148,4894,8
148,4894,8
150,4892,8
151,4891,8
151,4891,8
152,4890,8
152,4890,8
152,4890,8
152,4890,8
157,4885,8
157,4884,9
157,4884,9
158,4883,9
158,4883,9
160,4881,9
162,4879,9
163,4878,9
165,4876,9
166,4875,9
167,4874,9
168,4873,9
168,4873,9
169,4872,9
171,4870,9
173,4868,9
177,4864,9
178,4863,9
180,4861,9
181,4860,9
181,4860,9
181,4860,9
182,4859,9
183,4858,9
183,4858,9
186,4855,9
187,4854,9
187,4854,9
187,4854,9
187,4854,9
188,4853,9
190,4851,9
190,4851,9
192,4849,9
195,4846,9
195,4846,9
196,4845,9
196,4845,9
195,4845,10
198,4842,10
198,4842,10
196,4842,12
198,4840,12
198,4840,12
198,4840,12
198,4839,13
199,4838,13
199,4838,13
201,4836,13
202,4835,13
204,4833,13
207,4830,13
209,4828,13
212,4825,13
213,4823,14
213,4823,14
213,4823,14
214,4822,14
216,4819,15
217,4817,16
218,4816,16
219,4815,16
221,4813,16
222,4812,16
222,4812,16
222,4811,17
222,4811,17
222,4811,17
222,4811,17
221,4811,18
221,4811,18
220,4811,19
220,4811,19
221,4810,19
221,4810,19
222,4809,19
223,4808,19
224,4807,19
225,4806,19
226,4805,19
226,4805,19
226,4805,19
228,4803,19
228,4803,19
229,4801,20
230,4800,20
230,4799,21
231,4798,21
231,4797,22
233,4795,22
233,4795,22
235,4792,23
235,4792,23
235,4792,23
235,4792,23
236,4791,23
236,4791,23
236,4791,23
238,4789,23
238,4789,23
238,4789,23
239,4787,24
241,4785,24
244,4781,25
244,4781,25
245,4780,25
246,4779,25
248,4777,25
247,4777,26
251,4772,27
253,4770,27
252,4770,28
252,4769,29
253,4768,29
253,4768,29
255,4766,29
254,4765,31
255,4763,32
256,4762,32
255,4762,33
256,4760,34
256,4760,34
256,4760,34
256,4760,34
258,4757,35
257,4757,36
258,4756,36
259,4755,36
258,4755,37
258,4755,37
259,4753,38
260,4752,38
259,4752,39
260,4751,39
261,4750,39
261,4750,39
261,4750,39
261,4749,40
261,4749,40
263,4747,40
264,4745,41
264,4745,41
264,4745,41
264,4745,41
265,4744,41
265,4744,41
264,4744,42
265,4743,42
265,4743,42
265,4743,42
265,4743,42
266,4742,42
264,4742,44
263,4742,45
262,4742,46
264,4740,46
264,4739,47
264,4739,47
266,4737,47
266,4737,47
267,4736,47
266,4736,48
265,4736,49
264,4736,50
265,4734,51
265,4734,51
265,4734,51
266,4733,51
266,4733,51
268,4731,51
269,4730,51
268,4730,52
270,4728,52
271,4727,52
273,4725,52
273,4725,52
274,4724,52
274,4724,52
275,4723,52
275,4723,52
275,4723,52
275,4723,52
275,4723,52
275,4723,52
276,4722,52
276,4721,53
277,4720,53
278,4719,53
278,4719,53
278,4719,53
280,4717,53
283,4714,53
284,4713,53
284,4713,53
283,4713,54
283,4713,54
285,4711,54
286,4710,54
287,4709,54
288,4708,54
289,4706,55
290,4705,55
291,4704,55
294,4701,55
295,4700,55
296,4699,55
296,4699,55
295,4699,56
295,4698,57
295,4698,57
297,4696,57
298,4695,57
298,4695,57
299,4694,57
300,4693,57
301,4692,57
301,4692,57
302,4691,57
302,4691,57
303,4690,57
303,4690,57
305,4688,57
305,4688,57
306,4686,58
306,4686,58
306,4686,58
305,4686,59
304,4686,60
304,4686,60
306,4684,60
306,4684,60
306,4684,60
307,4683,60
306,4683,61
306,4683,61
306,4683,61
307,4682,61
307,4682,61
307,4681,62
307,4681,62
307,4681,62
308,4680,62
308,4680,62
309,4679,62
310,4678,62
310,4678,62
312,4676,62
313,4675,62
313,4675,62
314,4674,62
314,4674,62
314,4674,62
314,4674,62
317,4671,62
318,4670,62
319,4669,62
320,4668,62
320,4668,62
320,4668,62
320,4668,62
321,4667,62
321,4667,62
319,4667,64
319,4666,65
321,4663,66
322,4661,67
322,4661,67
322,4661,67
322,4661,67
322,4661,67
322,4661,67
323,4659,68
324,4658,68
327,4655,68
327,4655,68
327,4655,68
326,4655,69
326,4655,69
329,4652,69
330,4651,69
332,4649,69
333,4647,70
332,4647,71
332,4647,71
333,4646,71
335,4644,71
335,4643,72
335,4643,72
336,4642,72
335,4642,73
335,4642,73
335,4641,74
336,4640,74
336,4640,74
336,4639,75
338,4637,75
339,4635,76
339,4635,76
339,4633,78
339,4633,78
340,4632,78
339,4632,79
338,4632,80
338,4631,81
338,4631,81
338,4631,81
340,4629,81
339,4629,82
339,4629,82
341,4627,82
341,4627,82
341,4627,82
340,4627,83
340,4627,83
338,4627,85
338,4627,85
338,4627,85
339,4625,86
339,4625,86
340,4624,86
341,4623,86
345,4619,86
345,4619,86
345,4619,86
348,4616,86
347,4616,87
349,4614,87
349,4614,87
349,4614,87
349,4614,87
348,4614,88
347,4613,90
347,4612,91
349,4610,91
349,4610,91
349,4609,92
348,4609,93
348,4609,93
348,4609,93
350,4607,93
350,4607,93
351,4606,93
351,4605,94
353,4603,94
354,4602,94
354,4601,95
357,4598,95
357,4597,96
358,4596,96
358,4596,96
358,4595,97
358,4594,98
359,4591,100
360,4590,100
361,4589,100
361,4588,101
361,4587,102
362,4586,102
362,4585,103
363,4584,103
364,4583,103
365,4582,103
366,4581,103
366,4581,103
368,4578,104
369,4577,104
371,4575,104
372,4574,104
373,4573,104
373,4573,104
375,4571,104
376,4569,105
376,4568,106
376,4568,106
377,4567,106
377,4567,106
377,4567,106
377,4567,106
377,4567,106
378,4566,106
378,4566,106
381,4563,106
379,4563,108
379,4563,108
377,4563,110
376,4563,111
376,4563,111
376,4562,112
376,4561,113
378,4559,113
378,4559,113
377,4559,114
377,4559,114
377,4559,114
376,4559,115
376,4559,115
376,4559,115
376,4559,115
376,4559,115
376,4557,117
377,4556,117
377,4555,118
376,4555,119
376,4555,119
375,4555,120
374,4554,122
376,4552,122
376,4551,123
376,4550,124
379,4547,124
379,4546,125
380,4545,125
380,4544,126
381,4543,126
380,4543,127
380,4543,127
379,4543,128
380,4542,128
380,4541,129
380,4541,129
381,4540,129
380,4540,130
381,4539,130
380,4539,131
381,4538,131
381,4538,131
381,4538,131
382,4537,131
382,4537,131
383,4536,131
384,4535,131
385,4534,131
386,4533,131
385,4533,132
385,4533,132
385,4533,132
384,4533,133
384,4532,134
385,4531,134
386,4530,134
386,4530,134
386,4529,135
387,4528,135
387,4528,135
387,4528,135
387,4528,135
388,4527,135
389,4526,135
389,4526,135
390,4525,135
389,4525,136
389,4524,137
388,4524,138
387,4524,139
387,4523,140
386,4523,141
384,4523,143
386,4521,143
386,4521,143
385,4521,144
385,4521,144
385,4521,144
384,4521,145
384,4521,145
385,4520,145
385,4520,145
386,4519,145
386,4518,146
386,4518,146
385,4517,148
385,4516,149
385,4516,149
386,4514,150
386,4514,150
387,4513,150
387,4513,150
389,4511,150
388,4510,152
