infected,suceptible,removed
54,4996,0
57,4993,0
60,4990,0
61,4987,2
68,4980,2
70,4978,2
75,4973,2
77,4971,2
82,4966,2
85,4963,2
86,4962,2
93,4955,2
96,4952,2
99,4949,2
99,4947,4
103,4943,4
104,4942,4
107,4939,4
111,4935,4
115,4931,4
119,4927,4
122,4924,4
122,4922,6
124,4920,6
128,4916,6
129,4915,6
129,4915,6
131,4913,6
135,4909,6
136,4908,6
137,4907,6
139,4905,6
141,4903,6
142,4901,7
145,4898,7
145,4898,7
145,4898,7
146,4897,7
149,4894,7
149,4894,7
150,4893,7
152,4891,7
153,4890,7
153,4890,7
153,4890,7
154,4889,7
154,4889,7
154,4889,7
155,4888,7
155,4888,7
156,4886,8
156,4886,8
156,4886,8
156,4886,8
157,4885,8
157,4885,8
157,4885,8
157,4885,8
160,4882,8
161,4881,8
163,4878,9
164,4877,9
166,4875,9
167,4874,9
167,4874,9
168,4873,9
168,4873,9
170,4871,9
170,4871,9
171,4870,9
172,4869,9
173,4868,9
173,4868,9
174,4867,9
174,4867,9
174,4867,9
174,4867,9
176,4865,9
177,4864,9
177,4864,9
180,4861,9
182,4859,9
181,4859,10
181,4859,10
181,4859,10
184,4856,10
185,4855,10
185,4855,10
186,4854,10
188,4851,11
191,4848,11
194,4845,11
196,4843,11
198,4841,11
200,4839,11
201,4838,11
200,4838,12
202,4836,12
203,4834,13
204,4833,13
205,4832,13
206,4831,13
209,4828,13
209,4828,13
210,4827,13
213,4824,13
214,4822,14
215,4821,14
215,4821,14
215,4820,15
216,4819,15
219,4816,15
219,4816,15
218,4815,17
221,4812,17
221,4811,18
223,4809,18
225,4807,18
226,4806,18
226,4806,18
226,4805,19
228,4803,19
229,4802,19
230,4800,20
232,4798,20
232,4798,20
232,4797,21
233,4796,21
234,4795,21
234,4795,21
235,4794,21
235,4794,21
236,4793,21
236,4793,21
237,4792,21
238,4791,21
240,4789,21
239,4789,22
240,4788,22
242,4786,22
243,4785,22
247,4781,22
248,4780,22
249,4779,22
252,4776,22
254,4774,22
254,4773,23
257,4770,23
258,4769,23
258,4769,23
260,4767,23
262,4765,23
263,4763,24
264,4761,25
265,4759,26
266,4758,26
266,4758,26
268,4756,26
266,4756,28
266,4756,28
269,4753,28
268,4753,29
268,4752,30
268,4752,30
269,4751,30
269,4751,30
272,4747,31
272,4746,32
275,4743,32
277,4741,32
280,4738,32
280,4738,32
280,4738,32
279,4737,34
280,4736,34
282,4734,34
283,4733,34
284,4732,34
286,4730,34
287,4729,34
287,4728,35
289,4726,35
291,4724,35
292,4722,36
293,4720,37
296,4717,37
296,4717,37
298,4715,37
300,4711,39
300,4711,39
302,4709,39
303,4708,39
303,4708,39
303,4708,39
303,4707,40
302,4707,41
304,4705,41
306,4703,41
308,4701,41
309,4700,41
311,4698,41
311,4698,41
314,4695,41
315,4694,41
315,4694,41
317,4692,41
317,4692,41
316,4691,43
316,4691,43
316,4691,43
317,4690,43
320,4687,43
321,4686,43
321,4684,45
321,4684,45
321,4684,45
321,4684,45
321,4684,45
320,4684,46
321,4683,46
322,4682,46
321,4682,47
323,4680,47
325,4678,47
326,4676,48
329,4673,48
331,4671,48
333,4669,48
337,4665,48
337,4665,48
339,4662,49
340,4661,49
340,4661,49
339,4661,50
340,4660,50
341,4659,50
343,4657,50
343,4657,50
343,4657,50
347,4653,50
349,4651,50
351,4649,50
352,4648,50
355,4645,50
356,4644,50
356,4644,50
359,4641,50
359,4641,50
359,4641,50
359,4640,51
360,4639,51
362,4636,52
366,4632,52
369,4629,52
369,4629,52
369,4629,52
370,4628,52
370,4628,52
371,4626,53
372,4625,53
373,4623,54
373,4623,54
374,4620,56
377,4617,56
378,4616,56
380,4614,56
380,4613,57
383,4609,58
383,4609,58
384,4608,58
385,4607,58
386,4606,58
389,4603,58
390,4602,58
395,4597,58
396,4596,58
397,4595,58
396,4595,59
398,4593,59
402,4589,59
403,4587,60
404,4585,61
405,4584,61
405,4584,61
407,4582,61
408,4580,62
411,4577,62
418,4570,62
423,4565,62
425,4563,62
428,4560,62
430,4557,63
433,4553,64
435,4551,64
436,4549,65
436,4548,66
437,4547,66
434,4547,69
434,4546,70
433,4546,71
434,4545,71
436,4543,71
438,4541,71
440,4539,71
440,4538,72
441,4536,73
441,4534,75
440,4534,76
441,4533,76
443,4531,76
443,4530,77
445,4527,78
448,4523,79
448,4523,79
449,4522,79
453,4518,79
455,4516,79
457,4513,80
462,4508,80
464,4506,80
464,4506,80
468,4502,80
469,4499,82
471,4496,83
472,4495,83
471,4495,84
472,4494,84
472,4494,84
472,4494,84
474,4492,84
479,4487,84
479,4486,85
481,4484,85
484,4481,85
486,4479,85
485,4479,86
486,4476,88
489,4473,88
489,4472,89
490,4471,89
494,4467,89
495,4462,93
497,4459,94
497,4458,95
499,4456,95
500,4455,95
503,4452,95
505,4450,95
508,4447,95
514,4441,95
515,4439,96
517,4436,97
519,4434,97
522,4429,99
524,4427,99
526,4423,101
526,4422,102
532,4416,102
535,4413,102
534,4413,103
535,4412,103
534,4411,105
537,4408,105
539,4406,105
542,4402,106
544,4400,106
545,4399,106
548,4396,106
552,4392,106
551,4391,108
551,4389,110
551,4386,113
554,4383,113
555,4382,113
556,4381,113
557,4379,114
556,4379,115
558,4377,115
560,4375,115
564,4370,116
566,4367,117
571,4362,117
574,4358,118
575,4357,118
578,4354,118
577,4353,120
577,4352,121
580,4349,121
585,4344,121
587,4341,122
591,4336,123
595,4332,123
600,4327,123
601,4326,123
599,4326,125
603,4322,125
602,4322,126
605,4318,127
607,4315,128
607,4314,129
608,4313,129
609,4310,131
611,4308,131
612,4307,131
615,4304,131
615,4303,132
616,4301,133
618,4299,133
621,4296,133
626,4290,134
628,4288,134
630,4285,135
628,4285,137
629,4283,138
631,4280,139
632,4279,139
633,4278,139
631,4278,141
631,4277,142
632,4276,142
632,4276,142
634,4273,143
635,4271,144
636,4270,144
636,4270,144
641,4265,144
644,4261,145
646,4259,145
648,4257,145
651,4254,145
653,4252,145
657,4248,145
657,4246,147
660,4243,147
661,4242,147
663,4240,147
664,4239,147
666,4236,148
668,4232,150
666,4232,152
666,4232,152
668,4230,152
669,4229,152
669,4229,152
670,4227,153
674,4223,153
676,4220,154
679,4217,154
680,4216,154
680,4215,155
680,4215,155
682,4212,156
685,4208,157
690,4203,157
694,4199,157
699,4193,158
699,4192,159
700,4190,160
701,4188,161
705,4184,161
708,4181,161
709,4180,161
710,4179,161
715,4174,161
718,4171,161
718,4170,162
718,4169,163
717,4167,166
718,4165,167
719,4163,168
720,4162,168
722,4160,168
725,4155,170
728,4152,170
730,4150,170
732,4148,170
733,4145,172
735,4143,172
