infected,suceptible,removed
54,4996,0
57,4993,0
60,4990,0
63,4987,0
68,4982,0
69,4981,0
71,4979,0
78,4972,0
81,4969,0
82,4968,0
85,4965,0
85,4965,0
90,4960,0
94,4956,0
94,4956,0
94,4956,0
95,4955,0
94,4955,1
95,4954,1
98,4951,1
99,4950,1
102,4947,1
105,4944,1
107,4942,1
108,4941,1
108,4941,1
116,4933,1
120,4929,1
123,4926,1
125,4924,1
129,4920,1
131,4918,1
136,4913,1
139,4910,1
140,4908,2
142,4905,3
146,4901,3
149,4898,3
153,4894,3
155,4892,3
158,4889,3
160,4887,3
163,4884,3
166,4881,3
168,4879,3
170,4877,3
170,4877,3
172,4875,3
173,4874,3
175,4872,3
175,4871,4
179,4867,4
180,4866,4
185,4861,4
187,4859,4
191,4855,4
194,4852,4
196,4850,4
197,4849,4
200,4846,4
200,4846,4
204,4842,4
209,4836,5
214,4831,5
218,4826,6
222,4822,6
227,4817,6
229,4814,7
232,4811,7
236,4807,7
241,4802,7
243,4800,7
247,4796,7
251,4792,7
256,4787,7
258,4785,7
260,4783,7
267,4776,7
268,4775,7
272,4771,7
274,4769,7
278,4765,7
279,4764,7
283,4760,7
290,4752,8
291,4751,8
295,4747,8
297,4745,8
298,4743,9
299,4742,9
303,4738,9
306,4735,9
310,4731,9
313,4728,9
317,4724,9
323,4717,10
329,4711,10
332,4707,11
336,4703,11
343,4696,11
346,4693,11
349,4688,13
351,4686,13
354,4683,13
357,4680,13
365,4672,13
370,4667,13
372,4665,13
375,4661,14
379,4657,14
389,4646,15
392,4643,15
398,4637,15
404,4631,15
408,4627,15
411,4624,15
419,4616,15
423,4612,15
431,4604,15
433,4602,15
436,4599,15
439,4596,15
441,4593,16
448,4586,16
446,4585,19
453,4578,19
458,4573,19
467,4563,20
469,4559,22
483,4545,22
491,4536,23
493,4532,25
498,4527,25
502,4522,26
510,4514,26
514,4510,26
520,4503,27
523,4500,27
527,4494,29
529,4490,31
531,4488,31
536,4483,31
540,4478,32
543,4475,32
554,4464,32
559,4459,32
557,4457,36
564,4450,36
573,4441,36
580,4434,36
582,4431,37
587,4425,38
592,4419,39
598,4413,39
605,4406,39
610,4399,41
619,4390,41
624,4384,42
633,4375,42
638,4369,43
638,4367,45
642,4362,46
647,4357,46
647,4355,48
651,4349,50
654,4346,50
660,4339,51
665,4334,51
668,4330,52
673,4325,52
677,4320,53
684,4311,55
686,4309,55
691,4304,55
703,4291,56
710,4284,56
711,4283,56
717,4277,56
722,4272,56
725,4269,56
728,4266,56
734,4260,56
738,4255,57
742,4251,57
745,4248,57
750,4243,57
754,4238,58
756,4236,58
761,4231,58
765,4225,60
772,4217,61
777,4212,61
780,4208,62
787,4201,62
791,4197,62
798,4190,62
802,4184,64
809,4176,65
814,4171,65
816,4168,66
821,4162,67
825,4156,69
829,4152,69
834,4147,69
843,4135,72
844,4133,73
852,4125,73
855,4121,74
858,4118,74
859,4114,77
864,4109,77
869,4104,77
874,4098,78
877,4094,79
883,4087,80
886,4083,81
891,4078,81
894,4074,82
898,4067,85
901,4062,87
900,4060,90
905,4055,90
905,4053,92
909,4049,92
914,4043,93
916,4040,94
920,4035,95
928,4026,96
936,4018,96
944,4009,97
947,4006,97
949,4003,98
953,3998,99
955,3992,103
957,3989,104
957,3988,105
962,3983,105
964,3979,107
965,3977,108
968,3973,109
972,3968,110
972,3965,113
978,3959,113
986,3950,114
991,3945,114
995,3940,115
999,3936,115
1000,3934,116
1002,3929,119
1001,3929,120
1006,3924,120
1011,3918,121
1014,3915,121
1019,3909,122
1019,3905,126
1024,3898,128
1027,3895,128
1035,3887,128
1041,3881,128
1042,3879,129
1044,3875,131
1045,3873,132
1048,3869,133
1050,3867,133
1056,3859,135
1057,3856,137
1058,3854,138
1061,3849,140
1067,3843,140
1068,3839,143
1072,3834,144
1072,3832,146
1074,3830,146
1078,3825,147
1079,3822,149
1081,3818,151
1084,3815,151
1088,3810,152
1091,3806,153
1099,3797,154
1099,3795,156
1101,3792,157
1104,3787,159
1108,3783,159
1110,3780,160
1114,3775,161
1116,3770,164
1115,3769,166
1114,3768,168
1116,3766,168
1118,3762,170
1117,3762,171
1119,3758,173
1121,3756,173
1122,3755,173
1126,3751,173
1128,3749,173
1131,3746,173
1131,3742,177
1134,3738,178
1135,3737,178
1138,3734,178
1141,3731,178
1144,3728,178
1150,3721,179
1149,3719,182
1151,3717,182
1153,3711,186
1155,3708,187
1157,3706,187
1157,3706,187
1163,3700,187
1164,3698,188
1165,3696,189
1167,3693,190
1170,3689,191
1174,3685,191
1174,3682,194
1176,3679,195
1178,3675,197
1179,3671,200
1188,3662,200
1190,3660,200
1191,3658,201
1198,3651,201
1202,3646,202
1204,3642,204
1207,3638,205
1209,3634,207
1211,3628,211
1215,3623,212
1216,3620,214
1217,3619,214
1218,3617,215
1220,3615,215
1221,3612,217
1221,3610,219
1223,3608,219
1226,3605,219
1226,3600,224
1228,3597,225
1226,3597,227
1230,3592,228
1233,3588,229
1230,3588,232
1235,3581,234
1240,3575,235
1240,3574,236
1244,3570,236
1248,3566,236
1252,3562,236
1254,3559,237
1255,3556,239
1255,3555,240
1254,3553,243
1256,3550,244
1257,3548,245
1256,3546,248
1259,3543,248
1260,3542,248
1258,3542,250
1261,3537,252
1260,3537,253
1260,3535,255
1260,3534,256
1262,3532,256
1262,3530,258
1265,3525,260
1265,3523,262
1264,3522,264
1267,3518,265
1273,3512,265
1273,3506,271
1274,3504,272
1275,3500,275
1277,3497,276
1280,3494,276
1281,3491,278
1283,3489,278
1283,3486,281
1288,3481,281
1290,3479,281
1292,3477,281
1292,3477,281
1295,3474,281
1297,3472,281
1299,3466,285
1300,3464,286
1301,3462,287
1304,3458,288
1305,3456,289
1307,3452,291
1307,3450,293
1310,3447,293
1309,3446,295
1313,3442,295
1316,3439,295
1317,3437,296
1316,3435,299
1316,3434,300
1320,3430,300
1320,3429,301
1320,3428,302
1318,3428,304
1321,3425,304
1319,3425,306
1320,3423,307
1321,3422,307
1327,3416,307
1329,3413,308
1329,3413,308
1330,3411,309
1333,3408,309
1333,3406,311
1336,3403,311
1336,3400,314
1339,3396,315
1342,3393,315
1342,3391,317
1341,3390,319
1337,3390,323
1339,3387,324
1340,3384,326
1341,3382,327
1341,3380,329
1339,3380,331
1342,3374,334
1338,3374,338
1339,3373,338
1339,3372,339
1337,3372,341
1340,3369,341
1338,3368,344
1337,3367,346
1336,3366,348
1336,3364,350
1336,3363,351
1336,3362,352
1340,3356,354
1339,3355,356
1339,3351,360
1339,3349,362
1338,3349,363
1337,3348,365
1336,3348,366
1335,3347,368
1336,3345,369
1335,3345,370
1337,3343,370
