infected,suceptible,removed
54,4996,0
57,4993,0
60,4990,0
62,4987,1
67,4982,1
68,4981,1
69,4980,1
74,4975,1
76,4973,1
77,4972,1
80,4969,1
81,4968,1
82,4967,1
85,4964,1
87,4962,1
88,4961,1
89,4959,2
90,4958,2
91,4957,2
91,4957,2
93,4955,2
94,4954,2
95,4953,2
96,4952,2
95,4952,3
95,4952,3
97,4950,3
99,4947,4
100,4946,4
104,4942,4
106,4940,4
111,4935,4
111,4935,4
112,4934,4
115,4931,4
118,4928,4
123,4923,4
125,4921,4
130,4916,4
132,4914,4
133,4913,4
134,4912,4
137,4909,4
137,4909,4
138,4908,4
138,4908,4
139,4907,4
141,4905,4
147,4899,4
152,4894,4
155,4891,4
159,4887,4
161,4885,4
163,4883,4
166,4880,4
172,4874,4
172,4874,4
175,4871,4
181,4865,4
182,4863,5
185,4859,6
187,4857,6
190,4854,6
192,4852,6
197,4847,6
199,4845,6
201,4843,6
204,4840,6
206,4838,6
207,4837,6
209,4835,6
209,4833,8
212,4830,8
213,4828,9
217,4824,9
225,4816,9
231,4810,9
232,4809,9
230,4809,11
234,4805,11
238,4801,11
241,4797,12
241,4797,12
245,4793,12
253,4785,12
255,4783,12
255,4783,12
257,4780,13
264,4773,13
272,4765,13
274,4763,13
275,4762,13
277,4760,13
279,4757,14
284,4752,14
291,4745,14
293,4743,14
295,4741,14
298,4737,15
305,4730,15
308,4727,15
310,4724,16
312,4721,17
320,4713,17
323,4710,17
328,4705,17
335,4698,17
335,4697,18
337,4694,19
344,4687,19
348,4682,20
359,4671,20
363,4667,20
365,4665,20
368,4660,22
373,4654,23
375,4652,23
376,4651,23
381,4645,24
388,4638,24
392,4634,24
393,4632,25
395,4629,26
397,4627,26
401,4623,26
405,4618,27
406,4617,27
406,4617,27
410,4613,27
414,4608,28
415,4605,30
419,4601,30
424,4596,30
428,4592,30
430,4590,30
435,4583,32
442,4575,33
451,4566,33
453,4564,33
462,4555,33
471,4546,33
478,4539,33
481,4536,33
484,4533,33
488,4529,33
494,4522,34
502,4514,34
507,4509,34
510,4506,34
515,4501,34
517,4497,36
519,4494,37
521,4491,38
523,4488,39
533,4478,39
537,4474,39
539,4470,41
543,4466,41
545,4463,42
547,4461,42
552,4454,44
555,4451,44
559,4446,45
564,4439,47
565,4438,47
573,4430,47
577,4426,47
578,4422,50
582,4417,51
587,4412,51
590,4408,52
596,4402,52
596,4400,54
597,4397,56
597,4394,59
602,4386,62
607,4380,63
611,4375,64
614,4372,64
621,4365,64
629,4357,64
634,4351,65
636,4349,65
640,4345,65
640,4343,67
644,4338,68
653,4329,68
659,4323,68
663,4318,69
670,4311,69
670,4310,70
672,4307,71
676,4303,71
682,4297,71
688,4291,71
690,4288,72
698,4280,72
702,4276,72
704,4272,74
709,4266,75
716,4259,75
719,4254,77
721,4251,78
727,4244,79
729,4242,79
736,4235,79
742,4229,79
746,4222,82
752,4216,82
753,4215,82
756,4210,84
761,4205,84
767,4199,84
770,4196,84
773,4192,85
780,4184,86
782,4181,87
789,4173,88
794,4167,89
795,4165,90
800,4158,92
803,4154,93
804,4152,94
809,4145,96
813,4141,96
813,4139,98
816,4135,99
820,4130,100
822,4128,100
824,4125,101
825,4123,102
831,4117,102
833,4114,103
837,4110,103
841,4103,106
843,4101,106
846,4097,107
853,4088,109
856,4083,111
858,4080,112
863,4073,114
869,4067,114
871,4063,116
874,4059,117
876,4056,118
880,4052,118
880,4051,119
887,4044,119
894,4037,119
898,4033,119
906,4024,120
909,4019,122
917,4009,124
920,4004,126
922,4000,128
926,3994,130
938,3982,130
941,3979,130
944,3976,130
953,3967,130
956,3964,130
960,3959,131
962,3955,133
968,3949,133
974,3942,134
975,3941,134
982,3934,134
985,3931,134
985,3929,136
989,3925,136
990,3923,137
996,3917,137
1006,3907,137
1007,3906,137
1007,3905,138
1014,3898,138
1016,3894,140
1022,3887,141
1022,3886,142
1024,3882,144
1026,3880,144
1035,3871,144
1034,3869,147
1036,3867,147
1038,3865,147
1036,3864,150
1044,3856,150
1046,3853,151
1053,3845,152
1059,3838,153
1060,3834,156
1060,3832,158
1067,3825,158
1072,3818,160
1073,3816,161
1076,3811,163
1082,3805,163
1087,3800,163
1092,3795,163
1096,3791,163
1098,3789,163
1099,3784,167
1101,3781,168
1102,3780,168
1105,3777,168
1112,3770,168
1115,3767,168
1117,3763,170
1117,3760,173
1122,3755,173
1119,3753,178
1120,3751,179
1130,3741,179
1134,3737,179
1138,3733,179
1141,3729,180
1143,3726,181
1148,3720,182
1151,3716,183
1160,3707,183
1160,3705,185
1164,3700,186
1165,3696,189
1168,3690,192
1175,3683,192
1181,3677,192
1183,3674,193
1184,3673,193
1189,3668,193
1188,3667,195
1197,3658,195
1197,3656,197
1196,3653,201
1201,3648,201
1201,3646,203
1208,3639,203
1213,3633,204
1216,3629,205
1218,3625,207
1227,3614,209
1231,3610,209
1235,3606,209
1235,3602,213
1237,3599,214
1240,3594,216
1247,3587,216
1250,3583,217
1252,3578,220
1257,3571,222
1263,3564,223
1267,3559,224
1269,3557,224
1271,3555,224
1276,3550,224
1277,3548,225
1280,3543,227
1289,3533,228
1291,3529,230
1296,3524,230
1296,3523,231
1297,3519,234
1299,3516,235
1301,3513,236
1307,3507,236
1310,3503,237
1315,3497,238
1317,3495,238
1317,3492,241
1319,3489,242
1323,3484,243
1328,3477,245
1332,3472,246
1334,3468,248
1337,3463,250
1337,3461,252
1337,3458,255
1337,3455,258
1342,3450,258
1343,3447,260
1343,3445,262
1346,3440,264
1354,3431,265
1356,3427,267
1360,3423,267
1361,3421,268
1362,3419,269
1364,3415,271
1364,3412,274
1367,3409,274
1369,3407,274
1372,3403,275
1376,3398,276
1379,3394,277
1381,3391,278
1382,3389,279
1383,3387,280
1385,3384,281
1393,3376,281
1400,3368,282
1402,3365,283
1404,3363,283
1409,3358,283
1410,3357,283
1410,3356,284
1410,3355,285
1409,3353,288
1410,3352,288
1411,3351,288
1410,3349,291
1414,3344,292
1415,3340,295
1418,3336,296
1421,3333,296
1422,3331,297
1425,3328,297
1424,3325,301
1429,3320,301
1431,3315,304
1433,3312,305
1440,3305,305
1442,3301,307
1443,3298,309
1441,3297,312
1441,3296,313
1442,3294,314
1444,3291,315
1446,3287,317
1449,3283,318
1451,3280,319
1453,3276,321
1452,3275,323
1455,3271,324
1458,3267,325
1458,3266,326
1459,3264,327
1463,3260,327
1467,3255,328
1467,3255,328
1468,3253,329
1469,3249,332
1471,3247,332
1473,3244,333
1475,3242,333
1476,3240,334
1477,3238,335
1477,3237,336
1477,3235,338
1480,3232,338
1481,3229,340
1482,3227,341
1482,3225,343
1485,3222,343
