time, suceptible, infected, recovered
0, 5000, 50, 0
1, 4999, 51, 0
3, 4997, 53, 0
4, 4996, 54, 0
5, 4996, 53, 1
6, 4995, 54, 1
8, 4994, 55, 1
10, 4993, 56, 1
12, 4992, 57, 1
13, 4991, 58, 1
14, 4990, 59, 1
15, 4988, 61, 1
21, 4987, 62, 1
30, 4986, 63, 1
34, 4985, 64, 1
35, 4984, 64, 2
38, 4983, 65, 2
39, 4982, 66, 2
40, 4980, 68, 2
43, 4979, 69, 2
44, 4978, 70, 2
46, 4977, 71, 2
47, 4975, 73, 2
48, 4973, 75, 2
49, 4972, 76, 2
50, 4969, 79, 2
52, 4968, 80, 2
53, 4967, 81, 2
54, 4966, 82, 2
55, 4964, 84, 2
60, 4963, 84, 3
62, 4962, 85, 3
63, 4961, 86, 3
64, 4959, 88, 3
65, 4958, 89, 3
66, 4956, 91, 3
68, 4954, 93, 3
69, 4953, 94, 3
73, 4952, 95, 3
75, 4951, 96, 3
77, 4950, 97, 3
78, 4949, 98, 3
80, 4948, 99, 3
81, 4948, 98, 4
84, 4947, 99, 4
86, 4945, 101, 4
87, 4945, 100, 5
94, 4944, 99, 7
96, 4943, 100, 7
97, 4942, 101, 7
103, 4941, 102, 7
105, 4939, 103, 8
106, 4938, 104, 8
114, 4935, 107, 8
116, 4934, 108, 8
119, 4932, 110, 8
121, 4931, 111, 8
122, 4930, 112, 8
124, 4929, 113, 8
125, 4929, 112, 9
127, 4928, 113, 9
129, 4927, 114, 9
134, 4926, 115, 9
135, 4925, 116, 9
141, 4924, 117, 9
142, 4924, 116, 10
144, 4923, 117, 10
145, 4922, 118, 10
147, 4921, 119, 10
150, 4918, 122, 10
151, 4917, 123, 10
155, 4916, 124, 10
156, 4916, 123, 11
157, 4915, 124, 11
159, 4914, 125, 11
160, 4914, 124, 12
163, 4913, 125, 12
166, 4912, 126, 12
167, 4911, 127, 12
170, 4910, 127, 13
171, 4910, 126, 14
177, 4909, 127, 14
179, 4909, 126, 15
180, 4907, 128, 15
181, 4906, 129, 15
182, 4905, 130, 15
183, 4905, 129, 16
184, 4903, 131, 16
185, 4901, 133, 16
189, 4900, 134, 16
190, 4899, 135, 16
191, 4898, 136, 16
193, 4897, 137, 16
197, 4896, 136, 18
198, 4895, 137, 18
200, 4894, 137, 19
202, 4893, 138, 19
209, 4892, 139, 19
210, 4891, 140, 19
211, 4890, 141, 19
212, 4888, 143, 19
