num_susceptible,num_removed,num_steps
10,10,10462
12,12,11107
16,16,9231
16,16,10267
15,15,8924
16,16,10980
21,21,11248
22,22,11411
7,7,9162
9,9,11615
22,22,10710
14,14,10997
8,8,10376
23,23,10389
28,28,13188
13,13,9487
14,14,10636
16,16,9932
34,34,10100
14,14,10676
13,13,10416
15,15,15186
11,11,11164
8,8,9307
11,11,10357
32,32,11418
19,19,12588
60,60,10660
22,22,11270
29,29,12568
15,15,10242
12,12,10100
25,25,10821
10,10,10509
25,25,10144
28,28,11547
38,38,10836
23,23,10235
7,7,9875
7,7,11911
15,15,8896
11,11,11471
18,18,10936
15,15,9721
11,11,10369
20,20,9510
14,14,11130
16,16,10675
14,14,9586
20,20,10705
24,24,9367
20,20,9218
12,12,10659
14,14,11540
18,18,10884
17,17,11453
16,16,9718
21,21,10771
6,6,11527
18,18,12540
9,9,10179
13,13,11758
10,10,11640
8,8,12849
12,12,13718
18,18,11558
15,15,9820
19,19,9571
26,26,14093
16,16,10650
34,34,11094
7,7,9830
35,35,11281
10,10,9815
13,13,10471
10,10,9810
33,33,9060
28,28,10978
11,11,10899
20,20,10486
11,11,11483
42,42,12855
17,17,10998
25,25,11707
8,8,11873
25,25,11732
20,20,10040
13,13,10643
16,16,11666
9,9,11960
29,29,9404
22,22,13447
20,20,10999
16,16,11675
10,10,12186
7,7,9762
21,21,12737
9,9,10350
22,22,11965
22,22,12254
21,21,10439
