num_susceptible,num_removed,num_steps,peak_infected
4478,4478,8326,229
4492,4492,8942,237
4503,4503,9428,251
4599,4599,7156,263
4639,4639,6746,232
4576,4576,8605,231
4615,4615,6669,235
4606,4606,9889,215
4605,4605,7380,230
4525,4525,7820,260
4509,4509,7193,268
4515,4515,9213,226
4625,4625,7128,220
4617,4617,7050,232
4439,4439,12770,285
4571,4571,6547,210
4545,4545,5558,244
4554,4554,9069,252
4534,4534,8516,236
4598,4598,6068,223
4617,4617,7211,216
4603,4603,7636,219
4476,4476,13233,245
4551,4551,8127,240
4585,4585,8696,246
4652,4652,6887,244
4512,4512,6493,244
4559,4559,7341,221
4656,4656,5866,206
4582,4582,7598,249
4583,4583,7439,214
4527,4527,8418,246
4527,4527,9233,204
4479,4479,9233,245
4568,4568,7442,262
4535,4535,11306,219
4513,4513,7666,241
4538,4538,7134,233
4563,4563,8123,256
4497,4497,9136,263
4607,4607,11177,205
4662,4662,5492,208
4512,4512,7035,264
4608,4608,8887,219
4544,4544,8755,273
4555,4555,9830,233
4551,4551,10759,226
4655,4655,7099,215
4525,4525,9658,222
4583,4583,6434,237
4540,4540,7425,277
4525,4525,12500,227
4544,4544,14932,238
4567,4567,9306,243
4578,4578,10376,228
4611,4611,8047,223
4620,4620,7952,239
4481,4481,8419,283
4584,4584,5970,240
4465,4465,8204,246
4594,4594,8462,217
4518,4518,8861,258
4551,4551,8904,241
4581,4581,8862,248
4479,4479,10883,244
4570,4570,10424,226
4545,4545,8014,223
4616,4616,7541,225
4503,4503,11511,234
4613,4613,7486,210
4613,4613,5738,226
4637,4637,6628,247
4498,4498,12881,253
4490,4490,8000,256
4477,4477,9208,289
4640,4640,4944,227
4563,4563,11505,234
4377,4377,9586,272
4514,4514,9171,212
4418,4418,14731,263
4546,4546,7805,251
4562,4562,12073,214
4472,4472,8232,264
4598,4598,8430,226
4623,4623,7694,238
4697,4697,6446,187
4493,4493,8942,214
4622,4622,7489,226
4569,4569,11537,250
4568,4568,7394,276
4481,4481,9072,266
4602,4602,7896,220
4508,4508,8725,238
4579,4579,9530,228
4471,4471,19349,183
4436,4436,12175,246
4622,4622,5956,236
4542,4542,9046,178
4593,4593,7266,236
4669,4669,6159,201
4536,4536,7123,260
