num_susceptible,num_removed,num_steps,peak_infected
3239,3239,12983,355
2385,2385,10942,715
2763,2763,12189,495
2579,2579,10952,593
3159,3159,11327,382
2578,2578,11580,547
2309,2309,11486,718
2331,2331,11155,775
3013,3013,10843,596
2982,2982,11128,561
2546,2546,13028,582
1934,1934,9601,832
2824,2824,11715,602
2991,2991,10177,630
2862,2862,10432,463
2091,2091,10834,722
2990,2990,9201,643
2449,2449,12373,764
2520,2520,10555,602
2491,2491,11319,642
2891,2891,12004,498
2797,2797,10482,622
2565,2565,15144,579
2903,2903,11530,549
2910,2910,11246,541
2649,2649,15561,705
2868,2868,10534,501
2396,2396,12702,668
2555,2555,11924,591
2494,2494,16576,572
2360,2360,13381,588
3104,3104,10134,486
3112,3112,9856,479
2505,2505,10601,644
2855,2855,11298,614
3003,3003,11927,554
2427,2427,11081,619
2298,2298,12901,681
2354,2354,10876,695
2764,2764,12686,539
2685,2685,12395,497
2556,2556,11063,616
2249,2249,11751,779
2796,2796,11972,490
3145,3145,10133,416
2850,2850,10239,590
2829,2829,9363,626
2665,2665,11778,560
3361,3361,11128,435
2610,2610,10703,578
2086,2086,13616,763
3339,3339,9250,545
2483,2483,12144,667
2324,2324,12045,748
2842,2842,11785,616
3099,3099,12360,416
3265,3265,11441,435
2767,2767,12954,491
2798,2798,10397,538
3016,3016,11924,440
2960,2960,9322,579
2692,2692,10214,728
2186,2186,10268,791
2814,2814,10808,532
2699,2699,11954,553
2615,2615,11550,646
2618,2618,12058,479
2910,2910,12982,462
2732,2732,13367,596
2777,2777,12251,515
2764,2764,9862,603
3011,3011,11201,493
2514,2514,9968,706
3027,3027,12019,642
3061,3061,14485,529
2631,2631,11804,591
3364,3364,11495,456
2381,2381,11467,752
2697,2697,12564,610
2739,2739,9901,645
3095,3095,10726,600
2803,2803,12165,452
2893,2893,10307,575
2087,2087,11726,850
2996,2996,13152,540
2534,2534,13935,625
2591,2591,12626,620
3404,3404,10433,401
1749,1749,13775,926
2867,2867,14127,541
3535,3535,10328,348
2604,2604,12102,593
2842,2842,13063,552
2653,2653,12405,566
3471,3471,9567,348
2736,2736,9773,516
2080,2080,13438,702
2814,2814,10873,487
2453,2453,13156,748
2603,2603,9701,627
1842,1842,14540,766
