num_susceptible,num_removed,num_steps,peak_infected
25,25,10230,2981
13,13,9039,3018
13,13,8604,2965
24,24,10520,3006
13,13,10896,3041
15,15,11187,3031
16,16,7968,3036
24,24,11568,2908
15,15,9927,2961
19,19,11071,2958
19,19,8392,2968
20,20,10303,3089
10,10,9405,2925
11,11,10980,3062
15,15,11948,2931
21,21,10117,3050
15,15,8409,2931
25,25,8731,2961
18,18,10984,2909
32,32,8364,2964
14,14,9179,3004
29,29,11356,2954
18,18,9771,3081
17,17,11637,2949
14,14,9279,2908
27,27,8940,2980
24,24,9542,2839
21,21,11496,2883
16,16,10277,2943
21,21,10489,2950
16,16,10659,2971
15,15,10797,2892
17,17,11337,2958
19,19,11056,2976
22,22,9669,2961
23,23,10582,2963
15,15,9405,2969
23,23,9343,3039
19,19,10515,2915
14,14,13248,2949
14,14,10450,2936
22,22,9428,3008
20,20,8869,3030
17,17,10539,2977
14,14,9274,2919
12,12,9452,2930
20,20,9440,3036
19,19,10451,2900
14,14,8491,2939
18,18,9287,2997
15,15,7988,3001
17,17,13523,2902
21,21,13013,2987
15,15,9546,2948
15,15,8571,2930
9,9,9259,2951
25,25,10268,2975
19,19,9877,2893
10,10,8931,3055
16,16,10163,2966
20,20,8766,2922
24,24,10850,2992
16,16,12976,2982
25,25,9178,2892
23,23,8361,2955
14,14,8965,2931
26,26,11389,2989
13,13,12327,2944
15,15,9475,2951
24,24,9421,2992
20,20,11401,3006
12,12,9335,2947
13,13,8537,2844
20,20,10733,2874
17,17,8796,2964
16,16,8483,2925
13,13,9921,2983
20,20,9434,2935
27,27,7766,2902
20,20,9052,2982
15,15,8735,2929
14,14,11787,2923
12,12,10050,2894
22,22,11096,2960
13,13,9417,3002
17,17,9953,2912
17,17,10822,3000
24,24,11765,2996
27,27,10597,2932
19,19,8584,2973
19,19,9177,2967
20,20,8668,2952
21,21,10873,2992
27,27,12586,2842
15,15,8389,2976
32,32,9157,2875
21,21,12828,3002
18,18,8644,2895
18,18,10392,2899
25,25,11766,3020
21,21,8493,2903
