num_susceptible,num_removed,num_steps,peak_infected
494,494,11262,1386
433,433,10742,1547
417,417,14014,1547
581,581,12345,1472
496,496,11211,1454
647,647,12024,1426
439,439,11007,1423
528,528,13452,1399
532,532,13368,1456
627,627,14741,1346
460,460,12503,1501
350,350,11277,1554
596,596,11352,1391
493,493,11725,1504
475,475,12313,1395
446,446,10399,1464
515,515,12285,1453
478,478,11696,1351
547,547,14084,1473
515,515,10402,1453
493,493,12236,1542
551,551,12475,1347
550,550,15761,1445
509,509,14948,1410
554,554,12771,1367
480,480,11034,1331
401,401,12536,1415
451,451,11195,1350
544,544,11299,1453
506,506,11165,1381
462,462,12545,1509
462,462,10400,1478
478,478,10764,1437
430,430,11510,1559
529,529,16017,1416
630,630,11992,1311
439,439,14966,1494
506,506,11295,1460
414,414,11610,1513
622,622,14691,1357
549,549,10262,1458
555,555,13702,1385
599,599,16545,1254
488,488,12956,1498
750,750,16185,1189
567,567,12820,1461
581,581,16352,1307
403,403,11802,1455
472,472,12355,1523
495,495,14072,1539
380,380,11005,1531
504,504,12310,1535
438,438,11962,1461
542,542,11923,1467
626,626,13871,1163
584,584,11456,1309
568,568,11908,1397
542,542,16421,1271
445,445,13462,1463
484,484,10879,1417
431,431,14307,1536
677,677,11974,1228
466,466,14825,1388
448,448,20464,1455
538,538,10259,1312
461,461,14848,1428
588,588,12507,1402
530,530,13577,1446
548,548,10205,1484
472,472,10770,1410
515,515,10690,1321
383,383,13207,1498
472,472,10643,1456
519,519,10948,1220
501,501,14447,1355
535,535,12720,1377
399,399,13284,1492
478,478,10989,1559
569,569,18230,1258
423,423,12494,1616
560,560,11443,1438
374,374,12635,1516
502,502,13346,1497
552,552,12283,1502
651,651,10557,1405
480,480,11582,1382
508,508,16364,1381
762,762,15367,1042
473,473,14999,1397
536,536,16170,1274
449,449,11791,1644
530,530,12343,1553
482,482,15096,1433
370,370,10151,1631
549,549,11838,1339
400,400,11957,1437
560,560,11942,1450
582,582,15182,1470
601,601,13015,1372
519,519,16399,1401
611,611,16809,1212
