num_susceptible,num_removed,num_steps,peak_infected
28,28,9666,1717
24,24,11224,1708
11,11,11142,1795
9,9,8973,1942
17,17,8575,1798
15,15,10075,1765
19,19,10130,1819
19,19,10973,1793
13,13,9726,2059
15,15,9006,1817
27,27,11519,2132
17,17,8713,1850
19,19,9457,1869
20,20,13256,1917
20,20,9502,1952
38,38,11069,1820
22,22,9551,1925
19,19,11952,1710
14,14,10563,1845
18,18,10862,1926
20,20,9921,1879
20,20,11090,1813
28,28,11313,1631
20,20,11120,1846
11,11,11889,1946
13,13,9945,1944
13,13,10621,1763
24,24,10413,1714
9,9,9638,1854
21,21,12538,1719
14,14,9433,1908
25,25,9805,1936
22,22,13001,2063
26,26,9945,1625
12,12,11898,1831
8,8,8885,1865
9,9,10360,1898
9,9,10222,2066
16,16,10198,1900
32,32,9890,1980
18,18,11707,1807
23,23,11438,1743
13,13,9864,1828
17,17,10170,1868
21,21,12389,1865
14,14,10245,1988
16,16,10857,1992
21,21,10294,1782
26,26,8957,1702
9,9,9055,1876
17,17,8733,1817
16,16,10214,1831
36,36,11096,1705
5,5,10408,1874
19,19,12327,1903
7,7,10865,1857
10,10,10042,1806
33,33,13480,1849
9,9,13836,1950
11,11,10631,1918
13,13,11031,1690
27,27,10029,1712
15,15,9763,1814
12,12,13444,1912
27,27,11353,1849
21,21,9016,2054
20,20,9633,1967
6,6,11832,1987
12,12,9466,1737
18,18,10895,2020
9,9,11420,1984
16,16,12920,1610
23,23,10540,1681
19,19,10880,1828
36,36,10443,1889
11,11,11519,1772
19,19,11160,1885
20,20,9051,1846
36,36,14010,1840
13,13,10803,1850
21,21,9847,1953
10,10,12015,1936
18,18,8907,1986
19,19,11927,1690
7,7,10256,1851
16,16,11132,1880
20,20,8875,1903
12,12,13486,2161
32,32,11544,1803
17,17,11177,1882
21,21,10316,1790
24,24,10366,1723
9,9,9691,1823
21,21,13183,1841
25,25,9678,1978
8,8,11218,1803
6,6,12067,1899
10,10,10946,1768
12,12,9923,1830
30,30,11906,1851
5,5,12173,1761
