num_susceptible,num_removed,num_steps,peak_infected
1503,1503,8946,1737
1551,1551,9888,1552
1477,1477,9947,1823
1493,1493,10496,1784
1616,1616,8701,1754
1801,1801,10099,1578
1739,1739,9400,1678
1342,1342,10656,1872
1893,1893,8927,1440
1780,1780,18328,1514
1653,1653,9780,1675
1625,1625,10318,1622
1362,1362,11261,1852
1427,1427,11246,1801
1701,1701,10513,1625
1511,1511,11929,1732
1585,1585,10289,1589
1512,1512,12388,1698
1862,1862,10358,1694
1533,1533,11166,1664
1632,1632,8821,1657
1564,1564,9995,1683
1860,1860,10368,1584
1614,1614,10102,1632
1931,1931,16405,1612
1612,1612,13154,1623
1575,1575,9569,1659
1891,1891,8448,1653
1503,1503,10809,1828
1736,1736,9497,1502
1592,1592,11288,1714
1867,1867,9752,1496
1292,1292,11585,1828
1535,1535,11216,1742
1587,1587,10306,1694
1728,1728,10951,1693
1674,1674,8735,1641
1633,1633,11134,1582
1751,1751,10973,1456
1293,1293,11333,1755
1737,1737,9325,1612
1662,1662,9570,1674
1498,1498,12207,1833
1477,1477,12039,1840
1549,1549,12453,1734
1753,1753,8661,1419
1568,1568,9212,1812
1139,1139,9237,1950
1488,1488,11047,1772
1350,1350,11028,1647
1509,1509,9904,1818
1882,1882,10264,1587
1761,1761,13623,1641
1479,1479,13025,1663
1814,1814,10479,1475
1804,1804,9451,1596
1590,1590,9301,1747
1525,1525,8316,1873
1574,1574,12647,1815
1647,1647,10533,1736
1591,1591,10585,1669
1313,1313,9761,1926
1793,1793,10180,1642
1736,1736,8927,1716
1407,1407,10069,1796
1611,1611,13505,1916
1605,1605,12248,1716
1640,1640,12572,1719
1685,1685,9116,1627
1160,1160,12114,1823
1744,1744,9994,1577
1654,1654,12335,1690
1544,1544,9718,1632
1574,1574,11337,1698
1675,1675,9718,1478
1603,1603,14209,1615
1787,1787,10800,1630
1636,1636,13318,1555
1322,1322,11880,1737
1489,1489,11653,1654
1581,1581,11955,1731
1442,1442,11309,1669
1470,1470,8976,1728
1612,1612,10349,1749
1533,1533,9625,1812
1962,1962,9753,1463
1685,1685,9736,1651
1765,1765,12387,1560
1557,1557,9820,1798
1763,1763,11219,1638
1624,1624,11295,1663
1710,1710,9912,1562
1620,1620,9855,1625
1600,1600,9751,1769
1479,1479,11173,1750
1423,1423,13176,1845
1428,1428,13274,1650
1698,1698,12408,1576
1406,1406,12749,1735
1424,1424,11553,1748
1189,1189,8913,2003
